ID,HospitalName,Address,City,County,State,Zipcode,RatingBelow6,Rating7-8,Rating9-10,Latitude,Longitude
2015,ALLEGIANCE HEALTH,205 N EAST AVE,JACKSON,JACKSON,MI,49201,0.09,0.26,0.65,42.252268,-84.38842
2016,MECOSTA COUNTY MEDICAL CENTER,605 OAK STREET,BIG RAPIDS,MECOSTA,MI,49307,0.06,0.22,0.72,43.697651,-85.47815
2017,WEST BRANCH REGIONAL MEDICAL CENTER,2463 SOUTH M-30,WEST BRANCH,OGEMAW,MI,48661,0.09,0.18,0.73,44.288158,-84.21162
2018,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,SAINT JOSEPH,MI,49091,0.06,0.21,0.73,41.822244,-85.43234
2019,MUNSON MEDICAL CENTER,1105 SIXTH STREET,TRAVERSE CITY,GRAND TRAVERSE,MI,49684,0.05,0.14,0.81,44.74136,-85.67316
2020,MERCY MEMORIAL HOSPITAL SYSTEM,718 N MACOMB ST,MONROE,MONROE,MI,48162,0.14,0.33,0.53,41.940898,-83.38515
2021,TAWAS ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,IOSCO,MI,48764,0.08,0.24,0.68,44.266549,-83.519166
2022,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,DETROIT,WAYNE,MI,48201,0.1,0.25,0.65,42.343787,-83.05879
2023,MCLAREN - NORTHERN MICHIGAN,416 CONNABLE AVE,PETOSKEY,EMMET,MI,49770,0.04,0.19,0.77,45.360111,-84.93774
2024,SPECTRUM HEALTH GERBER MEMORIAL,212 S SULLIVAN ST,FREMONT,NEWAYGO,MI,49412,0.08,0.21,0.71,43.464943,-85.95005
2025,PORTAGE HEALTH HOSPITAL,500 CAMPUS DRIVE,HANCOCK,HOUGHTON,MI,49930,0.03,0.2,0.77,47.145007,-88.57829
2026,MEMORIAL MEDICAL CENTER OF WEST MICHIGAN,1 N ATKINSON DRIVE,LUDINGTON,MASON,MI,49431,0.08,0.22,0.7,43.967306,-86.43044
2027,BORGESS MEDICAL CENTER,1521 GULL ROAD,KALAMAZOO,KALAMAZOO,MI,49048,0.07,0.19,0.74,42.292335,-85.525359
2028,HURON MEDICAL CENTER,1100 SOUTH VAN DYKE ROAD,BAD AXE,HURON,MI,48413,0.07,0.19,0.74,43.803691,-83.00181
2029,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,SHIAWASSEE,MI,48867,0.05,0.21,0.74,42.99605,-84.17896
2030,BEAUMONT HEALTH SYSTEM,3601 W THIRTEEN MILE RD,ROYAL OAK,OAKLAND,MI,48073,0.08,0.21,0.71,42.518635,-83.16357
2031,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,GENESEE,MI,48503,0.11,0.26,0.63,43.011227,-83.69291
2032,OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,GAYLORD,OTSEGO,MI,49735,0.06,0.26,0.68,44.989608,-84.67492
2033,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,GENESEE,MI,48532,0.1,0.26,0.64,43.005477,-83.76098
2034,OAKWOOD ANNAPOLIS HOSPITAL,33155 ANNAPOLIS AVE,WAYNE,WAYNE,MI,48184,0.14,0.26,0.6,42.276688,-83.3786
2035,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,WAYNE,MI,48192,0.12,0.28,0.6,42.199989,-83.17402
2037,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,WASHTENAW,MI,48106,0.04,0.17,0.79,42.253502,-83.836571
2039,MCLAREN - GREATER LANSING,401 W GREENLAWN AVE,LANSING,INGHAM,MI,48910,0.1,0.26,0.64,42.704435,-84.54915
2040,NORTH OTTAWA COMMUNITY HOSPITAL,1309 SHELDON RD,GRAND HAVEN,OTTAWA,MI,49417,0.05,0.2,0.75,43.04117,-86.19013
2041,OAKWOOD SOUTHSHORE MEDICAL CENTER,5450 FORT STREET,TRENTON,WAYNE,MI,48183,0.06,0.21,0.73,42.137071,-83.21446
2042,MIDMICHIGAN MEDICAL CENTER-CLARE,703 N MCEWAN ST,CLARE,CLARE,MI,48617,0.13,0.21,0.66,43.828266,-84.74219
2043,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,LAPEER,MI,48446,0.12,0.28,0.6,43.048777,-83.33073
2044,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,11800 EAST TWELVE MILE ROAD,WARREN,MACOMB,MI,48093,0.12,0.29,0.59,42.514885,-82.99768
2045,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,GENESEE,MI,48439,0.1,0.24,0.66,42.925677,-83.63585
2046,MCLAREN OAKLAND,50 NORTH PERRY,PONTIAC,OAKLAND,MI,48342,0.1,0.25,0.65,42.644581,-83.28211
2047,CARSON CITY HOSPITAL,406 EAST ELM ST,CARSON CITY,MONTCALM,MI,48811,0.04,0.2,0.76,43.184647,-84.84871
2048,PORT HURON HOSPITAL,1221 PINE GROVE AVE,PORT HURON,SAINT CLAIR,MI,48060,0.08,0.25,0.67,42.978974,-82.44402
2049,OAKLAWN HOSPITAL,200 N MADISON,MARSHALL,CALHOUN,MI,49068,0.02,0.2,0.78,42.277837,-84.94869
2050,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MIDLAND,MI,48670,0.07,0.18,0.75,43.637471,-84.256758
2051,MCLAREN MACOMB,1000 HARRINGTON BLVD,MOUNT CLEMENS,MACOMB,MI,48043,0.11,0.28,0.61,42.596784,-82.88031
2052,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,INGHAM,MI,48912,0.06,0.25,0.69,42.734434,-84.52497
2054,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,500 OSBORN BLVD,SAULT SAINTE MARIE,CHIPPEWA,MI,49783,0.06,0.2,0.74,46.460895,-84.32485
2055,ST JOHN RIVER DISTRICT HOSPITAL,4100 RIVER RD,EAST CHINA,SAINT CLAIR,MI,48054,0.07,0.24,0.69,42.769956,-82.52595
2056,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,WAYNE,MI,48135,0.08,0.31,0.61,42.324338,-83.3382
2057,CRITTENTON HOSPITAL MEDICAL CENTER,1101 W UNIVERSITY DRIVE,ROCHESTER,OAKLAND,MI,48307,0.09,0.23,0.68,42.662293,-83.12781
2058,CHELSEA COMMUNITY HOSPITAL,775 S MAIN ST,CHELSEA,WASHTENAW,MI,48118,0.03,0.16,0.81,42.316922,-84.03445
2059,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,21230 DEQUINDRE ROAD,WARREN,MACOMB,MI,48091,0,0.1,0.9,42.465886,-83.056
2060,WILLIAM BEAUMONT HOSPITAL-TROY,44201 DEQUINDRE ROAD,TROY,OAKLAND,MI,48085,0.07,0.23,0.7,42.597323,-83.116567
2061,OAKWOOD HERITAGE HOSPITAL,10000 TELEGRAPH ROAD,TAYLOR,WAYNE,MI,48180,0.07,0.21,0.72,42.231788,-83.26481
2062,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,WAYNE,MI,48201,0.1,0.25,0.65,42.343787,-83.05879
2063,HEALTHSOURCE SAGINAW,3340 HOSPITAL ROAD,SAGINAW,SAGINAW,MI,48608,,,,43.348535,-84.032612
2064,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,OAKLAND,MI,48382,0.06,0.2,0.74,42.593035,-83.48997
2065,BRIGHTON HOSPITAL,12851 E GRAND RIVER,BRIGHTON,LIVINGSTON,MI,48116,,,,42.509476,-83.77718
2066,KARMANOS CANCER CENTER,4100 JOHN R,DETROIT,WAYNE,MI,48201,0.06,0.2,0.74,42.343787,-83.05879
2067,OAKLAND REGIONAL HOSPITAL,22401 FOSTER WINTER DRIVE,SOUTHFIELD,OAKLAND,MI,48075,0.13,0.14,0.73,42.465275,-83.2264
2069,PAUL OLIVER MEMORIAL HOSPITAL,224 PARK AVENUE,FRANKFORT,BENZIE,MI,49635,,,,44.631,-86.21484
2070,KALKASKA MEMORIAL HEALTH CENTER,419 S CORAL,KALKASKA,KALKASKA,MI,49646,,,,44.743834,-85.08986
2071,SCHOOLCRAFT MEMORIAL HOSPITAL,7870 W US HIGHWAY 2,MANISTIQUE,SCHOOLCRAFT,MI,49854,,,,46.042121,-86.33946
2072,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,LUCE,MI,49868,0.02,0.29,0.69,46.434201,-85.54758
2073,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,805 W CEDAR ST,STANDISH,ARENAC,MI,48658,0.03,0.22,0.75,43.985129,-83.93628
2074,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,1140 N STATE STREET,SAINT IGNACE,MACKINAC,MI,49781,,,,45.923952,-84.7255
2076,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,ALGER,MI,49862,,,,46.37503,-86.70615
2078,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,HURON,MI,48755,0.06,0.16,0.78,43.85672,-83.28557
2079,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,SANILAC,MI,48427,0,0.18,0.82,43.519997,-82.71234
2080,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MONTCALM,MI,48884,0.07,0.12,0.81,43.21107,-85.04772
2081,HARBOR BEACH COMMUNITY HOSPITAL,210 S FIRST ST,HARBOR BEACH,HURON,MI,48441,0,0.28,0.72,43.812371,-82.69274
2082,MCKENZIE MEMORIAL HOSPITAL,120 DELAWARE STREET,SANDUSKY,SANILAC,MI,48471,0.09,0.16,0.75,43.418054,-82.83687
2083,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,DOWAGIAC,CASS,MI,49047,0.06,0.22,0.72,42.004729,-86.1208
2084,HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,CASS CITY,TUSCOLA,MI,48726,0.1,0.22,0.68,43.604819,-83.17889
2085,SPECTRUM HEALTH UNITED MEMORIAL - KELSEY CAMPUS,418 WASHINGTON,LAKEVIEW,LAKE,MI,48850,0,0.07,0.93,43.447625,-85.25628
2086,NORTHSTAR HEALTH SYSTEM,1400 W ICE LAKE ROAD,IRON RIVER,IRON,MI,49935,,,,46.108022,-88.70073
2089,BELL MEMORIAL HOSPITAL,901 LAKESHORE DRIVE,ISHPEMING,MARQUETTE,MI,49849,,,,46.458207,-87.72709
2090,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DRIVE,CHARLEVOIX,CHARLEVOIX,MI,49720,,,,45.294169,-85.24516
2092,EATON RAPIDS MEDICAL CENTER,1500 S MAIN STREET,EATON RAPIDS,EATON,MI,48827,0.03,0.14,0.83,42.507093,-84.6579
2093,MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,GLADWIN,GLADWIN,MI,48624,0.11,0.22,0.67,44.041529,-84.46503
2094,CLINTON MEMORIAL HOSPITAL,805 S OAKLAND,SAINT JOHNS,CLINTON,MI,48879,0.03,0.2,0.77,42.998998,-84.57704
2095,HAYES GREEN BEACH MEMORIAL HOSPITAL,321 E HARRIS STREET,CHARLOTTE,EATON,MI,48813,0.06,0.21,0.73,42.580076,-84.8228
2096,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,ALLEGAN,ALLEGAN,MI,49010,0.03,0.18,0.79,42.531244,-85.87438
2097,CARO COMMUNITY HOSPITAL,401 N HOOPER STREET,CARO,TUSCOLA,MI,48723,0,0.27,0.73,43.490117,-83.3881
2098,MARLETTE REGIONAL HOSPITAL,2770 MAIN STREET,MARLETTE,SANILAC,MI,48453,0.05,0.16,0.79,43.336126,-83.03213
2099,IONIA COUNTY MEMORIAL HOSPITAL,479 LAFAYETTE STREET,IONIA,IONIA,MI,48846,0.04,0.19,0.77,42.981932,-85.06679
2100,BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,PAW PAW,VAN BUREN,MI,49079,0.07,0.17,0.76,42.22514,-85.90002
2101,ASPIRUS GRAND VIEW HOSPITAL,N10561 GRAND VIEW LANE,IRONWOOD,GOGEBIC,MI,49938,,,,46.47351,-90.15732
2102,HERRICK MEMORIAL HOSPITAL,500 E POTTAWATAMIE STREET,TECUMSEH,LENAWEE,MI,49286,0.04,0.19,0.77,42.012268,-83.93878
2103,WEST SHORE MEDICAL CENTER,1465 E PARKDALE AVENUE,MANISTEE,MANISTEE,MI,49660,0.08,0.22,0.7,44.234322,-86.27234
2104,ST FRANCIS HOSPITAL,3401 LUDINGTON ST,ESCANABA,DELTA,MI,49829,0.06,0.21,0.73,45.751671,-87.08951
2105,CHILDREN'S HOSPITAL OF MICHIGAN,3901 BEAUBIEN,DETROIT,WAYNE,MI,48201,,,,42.343787,-83.05879
2107,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,407 EAST THIRD STREET,DULUTH,SAINT LOUIS,MN,55805,0.09,0.28,0.63,46.798339,-92.09568
2108,HENNEPIN COUNTY MEDICAL CENTER,701 PARK AVENUE,MINNEAPOLIS,HENNEPIN,MN,55415,0.11,0.25,0.64,44.973415,-93.25941
2109,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,ROCHESTER,OLMSTED,MN,55904,0.05,0.13,0.82,43.988708,-92.42937
2110,MAYO CLINIC-ST MARY'S HOSPITAL,1216 SECOND STREET WEST,ROCHESTER,OLMSTED,MN,55902,0.03,0.16,0.81,43.991846,-92.49166
2111,NORTHFIELD HOSPITAL,2000 NORTH AVENUE,NORTHFIELD,RICE,MN,55057,0.03,0.17,0.8,44.459969,-93.16623
2113,ESSENTIA HEALTH DULUTH,502 EAST SECOND STREET,DULUTH,SAINT LOUIS,MN,55805,0.11,0.23,0.66,46.798339,-92.09568
2114,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD,CAMBRIDGE,ISANTI,MN,55008,0.05,0.24,0.71,45.566735,-93.24381
2115,SANFORD  WORTHINGTON MEDICAL CENTER,1018 SIXTH AVENUE PO BOX 997,WORTHINGTON,NOBLES,MN,56187,0.08,0.27,0.65,43.623255,-95.59604
2116,DOUGLAS COUNTY HOSPITAL,111 17TH AVENUE EAST,ALEXANDRIA,DOUGLAS,MN,56308,0.06,0.17,0.77,45.88645,-95.38287
2117,ST CLOUD HOSPITAL,1406 6TH AVE NORTH,SAINT CLOUD,STEARNS,MN,56303,0.05,0.19,0.76,45.568516,-94.19251
2118,UNITED HOSPITAL,333 NORTH SMITH AVENUE,SAINT PAUL,RAMSEY,MN,55102,0.08,0.24,0.68,44.935315,-93.12049
2119,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,750 EAST 34TH ST,HIBBING,SAINT LOUIS,MN,55746,0.07,0.25,0.68,47.413817,-92.94228
2120,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA,404 WEST FOUNTAIN STREET,ALBERT LEA,FREEBORN,MN,56007,0.05,0.24,0.71,43.652042,-93.36916
2121,WINONA HEALTH SERVICES,855 MANKATO AVENUE,WINONA,WINONA,MN,55987,0.08,0.25,0.67,44.033867,-91.65106
2122,ST LUKES HOSPITAL,915 E 1ST ST,DULUTH,SAINT LOUIS,MN,55805,0.08,0.23,0.69,46.798339,-92.09568
2123,FAIRVIEW LAKES MEDICAL CENTER,5200 FAIRVIEW BOULEVARD,WYOMING,CHISAGO,MN,55092,0.07,0.24,0.69,45.329115,-93.06834
2124,LAKE REGION HEALTHCARE CORPORATION,712 SOUTH CASCADE,FERGUS FALLS,OTTER TAIL,MN,56537,0.06,0.22,0.72,46.282084,-96.06798
2126,RIDGEVIEW MEDICAL CENTER,500 SOUTH MAPLE STREET,WACONIA,CARVER,MN,55387,0.03,0.17,0.8,44.849912,-93.78514
2127,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,HENNEPIN,MN,55407,0.06,0.2,0.74,44.934915,-93.25424
2128,REGINA MEDICAL CENTER,1175 NININGER ROAD,HASTINGS,DAKOTA,MN,55033,0.08,0.23,0.69,44.726517,-92.86147
2129,MAYO CLINIC METHODIST HOSPITAL,201 WEST CENTER STREET,ROCHESTER,OLMSTED,MN,55902,0.03,0.13,0.84,43.991846,-92.49166
2130,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,RAMSEY,MN,55102,0.05,0.21,0.74,44.935315,-93.12049
2131,GRAND ITASCA CLINIC AND HOSPITAL,1601 GOLF COURSE ROAD,GRAND RAPIDS,ITASCA,MN,55744,0.05,0.27,0.68,47.243062,-93.52599
2132,LAKEVIEW MEMORIAL HOSPITAL,927 WEST CHURCHILL STREET,STILLWATER,WASHINGTON,MN,55082,0.04,0.13,0.83,45.054551,-92.82581
2133,OWATONNA HOSPITAL,2250 26TH STREET NORTHWEST,OWATONNA,STEELE,MN,55060,0.06,0.2,0.74,44.07393,-93.22716
2134,DISTRICT ONE HOSPITAL,200 STATE AVENUE,FARIBAULT,RICE,MN,55021,0.05,0.25,0.7,44.29478,-93.28732
2135,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,BRAINERD,CROW WING,MN,56401,0.04,0.19,0.77,46.352758,-94.16289
2136,BUFFALO HOSPITAL,303 CATLIN ST,BUFFALO,WRIGHT,MN,55313,0.05,0.2,0.75,45.175558,-93.85441
2139,ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,VIRGINIA,SAINT LOUIS,MN,55792,0.15,0.34,0.51,47.527383,-92.53371
2140,RICE MEMORIAL HOSPITAL,301 BECKER AVE SW,WILLMAR,KANDIYOHI,MN,56201,0.05,0.23,0.72,45.118846,-95.04504
2141,MAYO CLINIC HEALTH SYSTEM - MANKATO,1025 MARSH STREET BOX 8673,MANKATO,BLUE EARTH,MN,56002,0.09,0.28,0.63,44.056047,-94.069828
2142,SANFORD BEMIDJI MEDICAL CENTER,1300 ANNE ST NW,BEMIDJI,BELTRAMI,MN,56601,0.1,0.26,0.64,47.504496,-94.87105
2143,ESSENTIA HEALTH ST MARYS,1027 WASHINGTON AVE,DETROIT LAKES,BECKER,MN,56501,0.09,0.24,0.67,46.809965,-95.8518
2144,ST FRANCIS REGIONAL MEDICAL CENTER,1455 ST FRANCIS AVENUE,SHAKOPEE,SCOTT,MN,55379,0.05,0.2,0.75,44.776138,-93.52556
2145,REGIONS HOSPITAL,640 JACKSON STREET,SAINT PAUL,RAMSEY,MN,55101,0.05,0.24,0.71,44.964852,-93.08397
2147,MAYO CLINIC HEALTH SYSTEM - AUSTIN,1000 FIRST DRIVE NORTHWEST,AUSTIN,MOWER,MN,55912,0.09,0.27,0.64,43.671988,-92.97908
2149,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,911 NORTHLAND DR,PRINCETON,SHERBURNE,MN,55371,0.05,0.19,0.76,45.576431,-93.57644
2151,HUTCHINSON HEALTH,1095 HIGHWAY 15 SOUTH,HUTCHINSON,MCLEOD,MN,55350,0.06,0.24,0.7,44.896255,-94.38604
2152,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE SOUTH,MINNEAPOLIS,HENNEPIN,MN,55404,0.04,0.05,0.91,44.963365,-93.26179
2153,RED LAKE HOSPITAL,PO BOX 497,REDLAKE,BELTRAMI,MN,56671,0.19,0.38,0.43,47.871135,-95.14362
2154,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,BURNSVILLE,DAKOTA,MN,55337,0.08,0.23,0.69,44.770297,-93.27302
2158,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MAHNOMEN,MN,56557,,,,47.330624,-95.87672
2159,LAKEWOOD HEALTH CENTER,600 MAIN AVE S,BAUDETTE,LAKE OF THE WOODS,MN,56623,0,0.4,0.6,48.663939,-94.54953
2160,SANFORD WESTBROOK MEDICAL CENTER,920 BELL AVENUE PO BOX 188,WESTBROOK,COTTONWOOD,MN,56183,0.05,0.05,0.9,44.043567,-95.41116
2161,SANFORD TRACY,251 FIFTH STREET EAST,TRACY,LYON,MN,56175,0,0.2,0.8,44.260625,-95.62371
2162,SANFORD MEDICAL CENTER WHEATON,401 12TH STREET NORTH,WHEATON,TRAVERSE,MN,56296,,,,45.823795,-96.47706
2163,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,AITKIN,MN,56431,0.04,0.18,0.78,46.507241,-93.66458
2164,RENVILLE COUNTY HOSPITAL AND CLINICS,611 EAST FAIRVIEW,OLIVIA,RENVILLE,MN,56277,0.09,0.33,0.58,44.766441,-94.99624
2165,LAKE VIEW MEMORIAL HOSPITAL,325 ELEVENTH AVE,TWO HARBORS,LAKE,MN,55616,,,,47.077723,-91.66464
2166,ESSENTIA HEALTH SANDSTONE,109 COURT AVE SOUTH,SANDSTONE,PINE,MN,55072,0.08,0.22,0.7,46.131798,-92.71377
2167,SIBLEY MEDICAL CENTER,601 WEST CHANDLER,ARLINGTON,SIBLEY,MN,55307,,,,44.613278,-94.10728
2168,COOK HOSPITAL,10 SE FIFTH ST,COOK,SAINT LOUIS,MN,55723,,,,47.854987,-92.77077
2169,ESSENTIA HEALTH ADA,201 9TH STREET WEST,ADA,NORMAN,MN,56510,,,,47.322444,-96.51915
2170,JOHNSON MEMORIAL HOSPITAL,1282 WALNUT STREET,DAWSON,LAC QUI PARLE,MN,56232,0.02,0.17,0.81,44.932368,-96.04823
2171,SANFORD JACKSON MEDICAL CENTER,1430 NORTH HIGHWAY,JACKSON,JACKSON,MN,56143,0.03,0.3,0.67,43.625811,-95.00447
2172,BIGFORK VALLEY HOSPITAL,258 PINE TREE DRIVE PO BOX 258,BIGFORK,ITASCA,MN,56628,0,0.06,0.94,47.667203,-93.58773
2173,COOK COUNTY NORTHSHORE HOSPITAL,515 5TH AVE WEST,GRAND MARAIS,COOK,MN,55604,,,,47.939037,-90.54659
2174,ELY BLOOMENSON COMMUNITY HOSPITAL,328 WEST CONAN STREET,ELY,SAINT LOUIS,MN,55731,,,,47.913365,-91.91712
2175,MURRAY COUNTY MEMORIAL HOSPITAL,2042 JUNIPER AVENUE,SLAYTON,MURRAY,MN,56172,,,,44.007631,-95.75803
2176,RIVERVIEW HOSPITAL,323 SOUTH MINNESOTA,CROOKSTON,POLK,MN,56716,0.03,0.18,0.79,47.761982,-96.58055
2178,RAINY LAKE MEDICAL CENTER,1400 HIGHWAY 71,INTERNATIONAL FALLS,KOOCHICHING,MN,56649,0.16,0.29,0.55,48.579947,-93.38142
2179,MADELIA COMMUNITY HOSPITAL,121 DREW AVENUE SOUTHEAST,MADELIA,WATONWAN,MN,56062,,,,44.045998,-94.4211
2180,CHIPPEWA COUNTY HOSPITAL,824 NORTH 11TH STREET,MONTEVIDEO,CHIPPEWA,MN,56265,0.1,0.22,0.68,44.985313,-95.7066
2181,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,20 NINTH STREET SOUTHEAST,LONG PRAIRIE,TODD,MN,56347,,,,45.973572,-94.8582
2182,SLEEPY EYE MUNICIPAL HOSPITAL,400 FOURTH AVENUE NORTHWEST,SLEEPY EYE,BROWN,MN,56085,,,,44.29717,-94.73426
2183,SANFORD BAGLEY MEDICAL CENTER,203 4TH STREET NORTHWEST,BAGLEY,CLEARWATER,MN,56621,,,,47.436583,-95.41337
2184,LAKEWOOD HEALTH SYSTEM,49725 COUNTY ROAD 83,STAPLES,TODD,MN,56479,0.04,0.13,0.83,46.380664,-94.80503
2185,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,525 WEST MAIN STREET,MELROSE,STEARNS,MN,56352,,,,45.659491,-94.81417
2186,ALBANY AREA HOSPITAL,300 THIRD AVENUE,ALBANY,STEARNS,MN,56307,0.01,0.19,0.8,45.632455,-94.58257
2190,ST ELIZABETH MEDICAL CENTER,1200 GRANT BLVD W,WABASHA,WABASHA,MN,55981,0.06,0.16,0.78,44.374261,-92.04204
2191,KITTSON MEMORIAL HOSPITAL,1010 SOUTH BIRCH,HALLOCK,KITTSON,MN,56728,,,,48.787016,-96.95434
2192,NORTH VALLEY HEALTH CENTER,109 SOUTH MINNESOTA STREET,WARREN,MARSHALL,MN,56762,,,,48.195512,-96.74207
2193,MAYO CLINIC HEALTH SYSTEM - LAKE CITY,500 WEST GRANT STREET,LAKE CITY,WABASHA,MN,55041,0.04,0.17,0.79,44.42278,-92.2948
2194,HENDRICKS COMMUNITY HOSPITAL,503 E LINCOLN STREET,HENDRICKS,LINCOLN,MN,56136,,,,44.512114,-96.41157
2195,ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,5211 HIGHWAY 110,AURORA,SAINT LOUIS,MN,55705,,,,47.45225,-92.24109
2196,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,APPLETON,SWIFT,MN,56208,,,,45.228278,-96.00539
2197,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVE,ORTONVILLE,BIG STONE,MN,56278,0.05,0.15,0.8,45.335958,-96.40032
2198,MUNICIPAL HOSPITAL AND GRANITE MANOR,345 TENTH AVENUE,GRANITE FALLS,YELLOW MEDICINE,MN,56241,0.02,0.22,0.76,44.794723,-95.56737
2199,LIFECARE MEDICAL CENTER,715 DELMORE DRIVE,ROSEAU,ROSEAU,MN,56751,0.03,0.28,0.69,48.817919,-95.75167
2200,MAYO CLINIC HEALTH SYSTEM - WASECA,501 NORTH STATE STREET,WASECA,WASECA,MN,56093,0.12,0.19,0.69,44.067673,-93.5103
2201,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,1116 WEST MILL STREET,CANNON FALLS,GOODHUE,MN,55009,,,,44.493575,-92.89402
2202,SANFORD CANBY MEDICAL CENTER,112 ST OLAF AVENUE SOUTH,CANBY,YELLOW MEDICINE,MN,56220,0.08,0.36,0.56,44.725437,-96.2921
2203,TYLER HEALTHCARE CENTER,240 WILLOW STREET,TYLER,LINCOLN,MN,56178,0.13,0.13,0.74,44.274909,-96.12408
2204,PAYNESVILLE AREA HOSPITAL,200 1ST STREET WEST,PAYNESVILLE,STEARNS,MN,56362,0.03,0.2,0.77,45.389395,-94.70519
2205,MERCY HOSPITAL,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,CARLTON,MN,55767,,,,46.44429,-92.7699
2206,REDWOOD AREA HOSPITAL,100 FALLWOOD ROAD,REDWOOD FALLS,REDWOOD,MN,56283,0.06,0.17,0.77,44.540923,-95.12732
2207,MAYO CLINIC HEALTH SYSTEM - SPRINGFIELD,625 NORTH JACKSON STREET,SPRINGFIELD,BROWN,MN,56087,0.01,0.17,0.82,44.239384,-94.98313
2208,CUYUNA REGIONAL MEDICAL CENTER,320 EAST MAIN STREET,CROSBY,CROW WING,MN,56441,0.04,0.17,0.79,46.528094,-93.98055
2209,TRI COUNTY HOSPITAL,415 JEFFERSON STREET NORTH,WADENA,WADENA,MN,56482,0.04,0.2,0.76,46.447659,-95.14289
2210,GLENCOE REGIONAL HEALTH SERVICES,1805 HENNEPIN AVENUE NORTH,GLENCOE,MCLEOD,MN,55336,0.05,0.22,0.73,44.773886,-94.17294
2211,MILLE LACS HEALTH SYSTEM,200 NORTH ELM STREET,ONAMIA,MILLE LACS,MN,56359,0.08,0.18,0.74,46.073505,-93.66983
2212,ESSENTIA HEALTH FOSSTON,900 HILLIGOSS BOULEVARD SE,FOSSTON,POLK,MN,56542,0.02,0.2,0.78,47.571567,-95.73784
